wilayah,latitude,longitude
gegesik,-6.624373613793923,108.40867026757654
gegesik,-6.620404570239539,108.41504398137315
gegesik,-6.609504412422608,108.41607855286638
gegesik,-6.60023818497682,108.41409255293061
gegesik,-6.5894233221502345,108.4259273296389
gegesik,-6.59952696602194,108.42240827148206
gegesik,-6.6103987220575435,108.42784112855847
gegesik,-6.584410801149301,108.44591561574622
gegesik,-6.580987859573941,108.46041258863598
gegesik,-6.579151149489771,108.45200854638105
gegesik,-6.572802363673181,108.46863502743717
gegesik,-6.571966356332565,108.45194835322928
gegesik,-6.5665909703753,108.44303102929696
gegesik,-6.573858159668602,108.43069628651786
gegesik,-6.577768114951876,108.42887938557966
gegesik,-6.571422207297101,108.43309226773512
gegesik,-6.562440549115849,108.432225433232
gegesik,-6.549314389996737,108.43212064225715
gegesik,-6.545342065158551,108.43088006800308
gegesik,-6.542220724044432,108.4209744963025
gegesik,-6.535579077383722,108.42088536116913
gegesik,-6.5334242130675495,108.43378024379996
gegesik,-6.531594047044023,108.4273030907734
gegesik,-6.52066976569536,108.43034984356674
gegesik,-6.526721227676979,108.43468775339849
gegesik,-6.534647113695547,108.39385362513701
gegesik,-6.535252426248402,108.39628020534165
gegesik,-6.539637857101654,108.39431797392521
gegesik,-6.537813443754377,108.39052033427531
gegesik,-6.541791781090003,108.3956450388431
gegesik,-6.547189131009075,108.40273429788542
gegesik,-6.554676354439745,108.4040700375398
gegesik,-6.551690132048593,108.40593893692558
gegesik,-6.551444980294556,108.40312798193443
gegesik,-6.54908938556218,108.4045763747734
gegesik,-6.6287199433304895,108.41408598953419
kaliwedi,-6.545932044766227,108.38022620886301
kaliwedi,-6.546793986897712,108.38351798130674
kaliwedi,-6.547570547820707,108.3855201067986
kaliwedi,-6.548274031905843,108.38030589257838
kaliwedi,-6.5487250953567155,108.37426647756016
kaliwedi,-6.551112668154689,108.37772116269974
kaliwedi,-6.551965369956646,108.36802229510292
kaliwedi,-6.555802510025774,108.36789354907286
kaliwedi,-6.556828275025491,108.37577740575877
kaliwedi,-6.559439391044536,108.36761176869426
kaliwedi,-6.556042402477704,108.36835177955322
kaliwedi,-6.557597854647359,108.37653533132851
kaliwedi,-6.558197444752374,108.38318430498175
kaliwedi,-6.563057756415773,108.37520205111886
kaliwedi,-6.560158628849095,108.37732636061463
kaliwedi,-6.583856407754391,108.37538214599128
kaliwedi,-6.56604832645181,108.38205022287795
kaliwedi,-6.585167343901478,108.37819479434077
kaliwedi,-6.587958529489547,108.37360230927962
kaliwedi,-6.557296282139914,108.39859266299945
kaliwedi,-6.570299664759564,108.40039510742011
kaliwedi,-6.57166393439344,108.39473028209807
kaliwedi,-6.574605628056043,108.40099592222698
kaliwedi,-6.577033534005382,108.40136004327893
kaliwedi,-6.578664699901727,108.39693934187721
kaliwedi,-6.575276887821505,108.39585672112577
kaliwedi,-6.564320137161198,108.40769216631912
kaliwedi,-6.5822968039687995,108.39672105311408
kaliwedi,-6.586679803478945,108.39679062412087
kaliwedi,-6.588828632640475,108.39840371447
kaliwedi,-6.5884449454434675,108.39366156902996
kaliwedi,-6.59443469505179,108.398339341455
kaliwedi,-6.594178906512119,108.39288909284969
kaliwedi,-6.599681449989082,108.39428303606692
kaliwedi,-6.596132644343631,108.39678376241795
kaliwedi,-6.601543895674773,108.39707349063195
kaliwedi,-6.599820199733704,108.40705087842018
kaliwedi,-6.603998103440331,108.40684715533324
kaliwedi,-6.60941082323371,108.40525309607901
kaliwedi,-6.606914977375848,108.40994279031766
kaliwedi,-6.608233079444652,108.41433182023984
kaliwedi,-6.611325535892516,108.4067275707235
kaliwedi,-6.612694321914829,108.4131580099118
kaliwedi,-6.608055642832303,108.41468906686141
kaliwedi,-6.6235484711186485,108.40448987573376
arjawinangun,-6.65685729694742,108.43919542272982
arjawinangun,-6.6636992894101335,108.43955957149343
arjawinangun,-6.663913547521364,108.43611493679698
arjawinangun,-6.667559483809042,108.43149903345598
arjawinangun,-6.672020255798098,108.42834307750489
arjawinangun,-6.671875297394967,108.42587680486498
arjawinangun,-6.6645274339403064,108.42461374732163
arjawinangun,-6.661910851093864,108.42887205561064
arjawinangun,-6.6631691399351745,108.42263589275031
arjawinangun,-6.662867732258958,108.42075445747177
arjawinangun,-6.655733997614706,108.42117371239941
arjawinangun,-6.655904502045422,108.42312636052178
arjawinangun,-6.655009353123619,108.41879191084355
arjawinangun,-6.660458732789173,108.4174010923851
arjawinangun,-6.6633966527152495,108.41813438746867
arjawinangun,-6.666998489967736,108.41671818113817
arjawinangun,-6.673324323367764,108.4128478297409
arjawinangun,-6.671983085578914,108.4175514179595
arjawinangun,-6.672872221151995,108.41122433316988
arjawinangun,-6.669436230674844,108.41306024985298
arjawinangun,-6.6711609055292085,108.41422758310314
arjawinangun,-6.672125573639917,108.40251349344406
arjawinangun,-6.666767023415048,108.40180978995562
arjawinangun,-6.665115136250321,108.40599365446357
arjawinangun,-6.6641657052104195,108.40333840306239
arjawinangun,-6.660111764695546,108.40541708558789
arjawinangun,-6.661448295655794,108.41410696672115
arjawinangun,-6.660664632563292,108.41032892329896
arjawinangun,-6.663151251521493,108.40720331307817
arjawinangun,-6.6579368724018755,108.40814403070112
arjawinangun,-6.659368571603321,108.40693020148917
arjawinangun,-6.640800677227051,108.42793746331823
arjawinangun,-6.6390529503120925,108.4244398628353
arjawinangun,-6.6424631434104855,108.42542691573232
arjawinangun,-6.648175163890222,108.42671437603279
arjawinangun,-6.651412985489542,108.42704002910254
arjawinangun,-6.65678627898072,108.42872419174711
arjawinangun,-6.657926828996386,108.4257641483112
arjawinangun,-6.652640852811401,108.41743819752851
arjawinangun,-6.657138130132217,108.41160174191103
arjawinangun,-6.658647935782174,108.41675540613605
arjawinangun,-6.657070800125904,108.41296623350601
arjawinangun,-6.650510805358136,108.41167323233567
arjawinangun,-6.648356398355397,108.40794766042498
